                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3003,                 1.0893,                 1.5976,                0.90413,                0.78626,                 0.8507,                0.44638,                 1.6042,                0.92532,                 1.9032,             0.00073253,             0.00073253,             0.00073253
                     35,                  1.266,                 1.0359,                 1.5615,                0.90525,                0.80229,                0.86523,                0.45819,                 1.5808,                0.95606,                 1.8903,             0.00071076,             0.00071076,             0.00071076
                     36,                 1.2714,                 1.0436,                 1.5734,                0.86766,                0.83969,                0.86774,                0.45134,                 1.6654,                 1.0342,                 1.9796,               0.000689,               0.000689,               0.000689
                     37,                 1.2988,                  1.015,                 1.5889,                0.89681,                0.77863,                0.85347,                0.45253,                 1.5658,                0.95831,                 1.8839,             0.00066723,             0.00066723,             0.00066723
                     38,                 1.2772,                 1.0393,                 1.5807,                0.88543,                0.82594,                0.86668,                0.45109,                 1.6436,                0.95505,                  1.954,             0.00064547,             0.00064547,             0.00064547
                     39,                 1.2481,                 1.0153,                 1.5531,                0.93617,                0.78367,                0.84329,                0.44052,                 1.6592,                 1.0738,                 1.9446,              0.0006237,              0.0006237,              0.0006237
                     40,                 1.2454,                 1.0136,                 1.5558,                0.90869,                0.82443,                0.86955,                 0.4419,                 1.6805,                0.94614,                 2.0015,             0.00060194,             0.00060194,             0.00060194
                     41,                 1.2374,                0.99071,                  1.547,                0.90225,                0.77509,                0.85015,                0.43332,                  1.659,                0.91752,                 1.9731,             0.00058017,             0.00058017,             0.00058017
                     42,                 1.2333,                0.97727,                 1.5359,                0.95707,                0.85096,                0.89104,                0.47759,                 1.6063,                0.86693,                 1.9016,             0.00055841,             0.00055841,             0.00055841
                     43,                 1.2189,                0.97652,                 1.5277,                0.93909,                0.82382,                0.87863,                0.46722,                 1.5937,                 0.8489,                 1.9114,             0.00053664,             0.00053664,             0.00053664
                     44,                 1.2116,                0.95969,                 1.5266,                0.94389,                0.77056,                 0.8596,                0.45736,                 1.7057,                0.93988,                 2.0254,             0.00051488,             0.00051488,             0.00051488
                     45,                 1.2169,                0.93874,                 1.5195,                 0.9274,                0.80153,                0.87728,                0.45133,                 1.6519,                0.90151,                 1.9689,             0.00049311,             0.00049311,             0.00049311
                     46,                 1.1995,                0.93731,                  1.507,                0.94485,                0.78472,                0.88307,                0.46157,                 1.6032,                0.90605,                 1.9023,             0.00047135,             0.00047135,             0.00047135
                     47,                 1.1705,                0.89889,                 1.5029,                0.90623,                0.81156,                0.87519,                0.45818,                 1.6414,                0.88319,                 1.9548,             0.00044959,             0.00044959,             0.00044959
                     48,                 1.1844,                0.91884,                 1.4983,                  0.914,                0.81132,                0.87596,                0.46639,                 1.6213,                0.93413,                 1.9297,             0.00042782,             0.00042782,             0.00042782
                     49,                 1.1779,                0.90582,                  1.499,                0.93785,                0.80639,                0.86755,                0.43858,                 1.6137,                 0.8878,                 1.9507,             0.00040606,             0.00040606,             0.00040606
                     50,                 1.1622,                0.89153,                  1.481,                0.93022,                0.80153,                0.87192,                0.45641,                 1.6248,                0.92168,                 1.9451,             0.00038429,             0.00038429,             0.00038429
                     51,                 1.1748,                0.89374,                 1.4955,                 0.9296,                0.80637,                0.86041,                  0.458,                 1.6497,                0.89983,                 1.9547,             0.00036253,             0.00036253,             0.00036253
                     52,                 1.1664,                0.86411,                 1.4946,                0.91991,                0.81679,                0.88767,                0.46661,                 1.7281,                0.87804,                 2.0339,             0.00034076,             0.00034076,             0.00034076
                     53,                 1.1521,                 0.8861,                 1.4833,                0.93999,                0.79389,                0.87782,                0.47563,                 1.6245,                0.84886,                 1.9159,               0.000319,               0.000319,               0.000319
                     54,                 1.1505,                0.84728,                 1.4579,                0.91489,                0.80153,                0.86947,                0.46873,                 1.6087,                0.91087,                 1.9218,             0.00029723,             0.00029723,             0.00029723
                     55,                 1.1452,                0.84216,                  1.452,                0.91038,                0.80916,                0.87649,                0.46703,                 1.6299,                0.86104,                 1.9171,             0.00027547,             0.00027547,             0.00027547
                     56,                 1.1046,                0.76182,                 1.4799,                0.89729,                0.82443,                0.87125,                0.47308,                 1.5733,                0.85441,                 1.8839,              0.0002537,              0.0002537,              0.0002537
                     57,                 1.0866,                0.73302,                  1.466,                0.94225,                0.83206,                0.88985,                0.47819,                 1.5822,                0.80831,                 1.8926,             0.00023194,             0.00023194,             0.00023194
                     58,                 1.0682,                0.71365,                 1.4543,                0.92968,                0.83206,                0.88525,                0.47993,                 1.6114,                0.82961,                 1.9131,             0.00021017,             0.00021017,             0.00021017
                     59,                 1.0693,                0.71206,                 1.4502,                0.95383,                0.83969,                0.89424,                0.48086,                  1.582,                0.78328,                 1.8932,             0.00018841,             0.00018841,             0.00018841
                     60,                 1.0639,                0.69003,                 1.4317,                0.93194,                0.83206,                0.88992,                0.48775,                 1.6004,                0.78044,                 1.8973,             0.00016664,             0.00016664,             0.00016664
                     61,                  1.059,                0.68061,                 1.4286,                0.93308,                0.81679,                0.88406,                0.47539,                  1.601,                0.79111,                 1.9044,             0.00014488,             0.00014488,             0.00014488
                     62,                 1.0569,                0.66742,                 1.4282,                0.93993,                0.82443,                0.89277,                0.47935,                 1.6252,                0.83584,                 1.9183,             0.00012311,             0.00012311,             0.00012311
                     63,                 1.0428,                0.65514,                 1.4216,                0.94699,                 0.8183,                0.89471,                0.48454,                 1.5895,                0.84348,                 1.8922,             0.00010135,             0.00010135,             0.00010135
                     64,                 1.0495,                0.66761,                 1.4225,                0.95227,                0.83206,                0.89078,                0.48925,                 1.5874,                0.79888,                 1.8797,             7.9584e-05,             7.9584e-05,             7.9584e-05
                     65,                  1.029,                0.66932,                 1.4181,                0.94801,                0.83525,                0.89278,                0.48104,                 1.5855,                 0.8301,                 1.8939,              5.782e-05,              5.782e-05,              5.782e-05
